"title","genre","year","num_injured","num_deaths"
"the elder scrolls v: skyrim","role-playing",2011,1,8
"the elder scrolls v: skyrim","role-playing",2011,7,5
"the elder scrolls v: skyrim","role-playing",2011,13,6
"the legend of zelda","action",1986,6,15
"assassin's creed iii","action",2012,3,4
"assassin's creed iii","action",2012,8,3
"assassin's creed iii","action",2012,2,27
"assassin's creed iii","action",2012,1,7
"assassin's creed iii","action",2012,3,7
"assassin's creed iii","action",2012,70,12
"assassin's creed iii","action",2012,1,6
"assassin's creed iii","action",2012,3,7
"assassin's creed iii","action",2012,0,5
"halo: combat evolved","shooter",2001,4,5
"pokémon emerald version","role-playing",2004,7,5
"pokémon crystal version","role-playing",2000,0,7
"halo 3: odst","shooter",2009,0,5
"halo 3: odst","shooter",2009,2,3
"halo 3: odst","shooter",2009,1,4
"halo 3: odst","shooter",2009,31,13
"halo 3: odst","shooter",2009,4,14
"halo 3: odst","shooter",2009,3,8
"red dead redemption","action",2010,546,58
"red dead redemption","action",2010,2,9
"street fighter ii: the world warrior","fighting",1992,0,5
"street fighter ii: the world warrior","fighting",1992,10,4
"world of warcraft","role-playing",2004,7,5
"driver","action",1999,3,5
"driver","action",1999,0,7
"driver","action",1999,7,8
"driver","action",1999,13,9
"driver","action",1999,24,13
"kinect sports","sports",2010,546,58
"kinect sports","sports",2010,2,9
"gears of war 3","shooter",2011,22,12
"gears of war 3","shooter",2011,20,26
"gears of war 3","shooter",2011,0,3
"gears of war 3","shooter",2011,1,8
"gears of war 3","shooter",2011,7,5
"gears of war 3","shooter",2011,13,6
"gears of war","shooter",2006,1,3
"gears of war","shooter",2006,10,4
"gears of war","shooter",2006,0,3
"gears of war","shooter",2006,5,6
"gears of war","shooter",2006,2,7
"gears of war","shooter",2006,0,8
"metal gear solid 2: sons of liberty","action",2001,4,5
"sonic the hedgehog 2","platform",1992,0,5
"sonic the hedgehog 2","platform",1992,10,4
"metal gear solid 4: guns of the patriots","action",2008,27,9
"metal gear solid 4: guns of the patriots","action",2008,26,22
"metal gear solid 4: guns of the patriots","action",2008,1,6
"metal gear solid 4: guns of the patriots","action",2008,21,5
"metal gear solid 4: guns of the patriots","action",2008,2,6
"metal gear solid","action",1998,25,4
"metal gear solid","action",1998,10,5
"metal gear solid","action",1998,1,5
"the last of us","action",2013,8,12
"the last of us","action",2013,0,7
"the last of us","action",2013,3,6
"the last of us","action",2013,0,5
"the last of us","action",2013,2,5
"final fantasy xii","role-playing",2006,1,3
"final fantasy xii","role-playing",2006,10,4
"final fantasy xii","role-playing",2006,0,3
"final fantasy xii","role-playing",2006,5,6
"final fantasy xii","role-playing",2006,2,7
"final fantasy xii","role-playing",2006,0,8
"littlebigplanet","platform",2008,27,9
"littlebigplanet","platform",2008,26,22
"littlebigplanet","platform",2008,1,6
"littlebigplanet","platform",2008,21,5
"littlebigplanet","platform",2008,2,6
"dragon quest ix: sentinels of the starry skies","role-playing",2009,0,5
"dragon quest ix: sentinels of the starry skies","role-playing",2009,2,3
"dragon quest ix: sentinels of the starry skies","role-playing",2009,1,4
"dragon quest ix: sentinels of the starry skies","role-playing",2009,31,13
"dragon quest ix: sentinels of the starry skies","role-playing",2009,4,14
"dragon quest ix: sentinels of the starry skies","role-playing",2009,3,8
"lego star wars: the complete saga","action",2007,46,7
"lego star wars: the complete saga","action",2007,4,9
"lego star wars: the complete saga","action",2007,1,6
"lego star wars: the complete saga","action",2007,23,32
"lego star wars: the complete saga","action",2007,4,6
"resident evil 2","action",1998,25,4
"resident evil 2","action",1998,10,5
"resident evil 2","action",1998,1,5
"tekken 2","fighting",1996,1,6
"cooking mama","simulation",2006,1,3
"cooking mama","simulation",2006,10,4
"cooking mama","simulation",2006,0,3
"cooking mama","simulation",2006,5,6
"cooking mama","simulation",2006,2,7
"cooking mama","simulation",2006,0,8
"destiny","shooter",2014,1,5
"destiny","shooter",2014,13,6
"destiny","shooter",2014,12,3
"destiny","shooter",2014,2,4
"tetris","puzzle",1988,4,7
"assassin's creed ii","action",2009,0,5
"assassin's creed ii","action",2009,2,3
"assassin's creed ii","action",2009,1,4
"assassin's creed ii","action",2009,31,13
"assassin's creed ii","action",2009,4,14
"assassin's creed ii","action",2009,3,8
"super smash bros.","fighting",1999,3,5
"super smash bros.","fighting",1999,0,7
"super smash bros.","fighting",1999,7,8
"super smash bros.","fighting",1999,13,9
"super smash bros.","fighting",1999,24,13
"assassin's creed","adventure",2007,46,7
"assassin's creed","adventure",2007,4,9
"assassin's creed","adventure",2007,1,6
"assassin's creed","adventure",2007,23,32
"assassin's creed","adventure",2007,4,6
"batman: arkham city","action",2011,22,12
"batman: arkham city","action",2011,20,26
"batman: arkham city","action",2011,0,3
"batman: arkham city","action",2011,1,8
"batman: arkham city","action",2011,7,5
"batman: arkham city","action",2011,13,6
"forza motorsport 3","racing",2009,0,5
"forza motorsport 3","racing",2009,2,3
"forza motorsport 3","racing",2009,1,4
"forza motorsport 3","racing",2009,31,13
"forza motorsport 3","racing",2009,4,14
"forza motorsport 3","racing",2009,3,8
"monster hunter freedom unite","role-playing",2008,27,9
"monster hunter freedom unite","role-playing",2008,26,22
"monster hunter freedom unite","role-playing",2008,1,6
"monster hunter freedom unite","role-playing",2008,21,5
"monster hunter freedom unite","role-playing",2008,2,6
"super mario advance","platform",2001,4,5
"mario kart: super circuit","racing",2001,4,5
"super mario world","platform",2001,4,5
"pokemon stadium","strategy",1999,3,5
"pokemon stadium","strategy",1999,0,7
"pokemon stadium","strategy",1999,7,8
"pokemon stadium","strategy",1999,13,9
"pokemon stadium","strategy",1999,24,13
"call of duty: world at war","shooter",2008,27,9
"call of duty: world at war","shooter",2008,26,22
"call of duty: world at war","shooter",2008,1,6
"call of duty: world at war","shooter",2008,21,5
"call of duty: world at war","shooter",2008,2,6
"crash bandicoot: the wrath of cortex","platform",2001,4,5
"minecraft","misc",2014,1,5
"minecraft","misc",2014,13,6
"minecraft","misc",2014,12,3
"minecraft","misc",2014,2,4
"final fantasy xiii","role-playing",2009,0,5
"final fantasy xiii","role-playing",2009,2,3
"final fantasy xiii","role-playing",2009,1,4
"final fantasy xiii","role-playing",2009,31,13
"final fantasy xiii","role-playing",2009,4,14
"final fantasy xiii","role-playing",2009,3,8
"dr. mario","puzzle",1989,12,9
"dr. mario","puzzle",1989,29,6
"pokemon pinball","misc",1999,3,5
"pokemon pinball","misc",1999,0,7
"pokemon pinball","misc",1999,7,8
"pokemon pinball","misc",1999,13,9
"pokemon pinball","misc",1999,24,13
"assassin's creed iii","action",2012,3,4
"assassin's creed iii","action",2012,8,3
"assassin's creed iii","action",2012,2,27
"assassin's creed iii","action",2012,1,7
"assassin's creed iii","action",2012,3,7
"assassin's creed iii","action",2012,70,12
"assassin's creed iii","action",2012,1,6
"assassin's creed iii","action",2012,3,7
"assassin's creed iii","action",2012,0,5
"final fantasy ix","role-playing",2000,0,7
"final fantasy x-2","role-playing",2003,0,3
